Platform / Company,API Style,WO Create Endpoint Example,Title / Description,Asset / Location,Priority / Status,Due Date / Schedule,Assignee / Trade / Craft,Tasks / Checklist,Parts / Materials,Labor,Custom Fields,Attachments,Webhooks / Other Notes for Middleware,Example Create WO Payload Snippet
UpKeep (UpKeep Technologies),REST (modern),POST /work-orders,"title (req), description","assetId, locationId","priority (0-3), status",dueDate (Unix),"assignedToUserIds[], teams[]",formItems[],parts[],estimatedHours,customFields[],Separate /attachments,Flat payload; strong mobile/photos; easy token auth.,```json
Fiix (Rockwell Automation),REST (relational),POST to WorkOrder object,strDescription,Separate WorkOrderAsset,intWorkOrderStatusID (req),targetCompletion,Via WorkOrderTask,WorkOrderTask,Separate objects,Separate labor,Yes,Separate upload,"Requires site/status first, then relational links; good for IoT; SDKs available.","json\n{\n ""strDescription"": ""Repair conveyor motor"",\n ""intSiteID"": 1,\n ""intWorkOrderStatusID"": 2,\n ""dtTargetCompletion"": ""2026-05-25T14:00:00""\n}\n Then POST to WorkOrderAsset + WorkOrderTask"
Limble CMMS (Limble),REST V2,POST /tasks (Tasks = WOs),"title, instructions",assetId / valueID,"Priority enum, status",Due date fields,assignees[],Built-in checklists,Parts usage,Labor tracking,Heavy customFields,Supported,Tasks-centric; modern; API key auth.,"json\n{\n ""title"": ""Inspect boiler"",\n ""instructions"": ""Check pressure valves"",\n ""assetId"": 45678,\n ""priority"": ""HIGH"",\n ""dueDate"": ""2026-05-22"",\n ""assignees"": [123, 456],\n ""customFields"": {""cf_pressure"": ""150 PSI""}\n}\n"
MaintainX,REST,POST /workorders,"title (req), description",assetId,"Priority, status","estimatedTime, due date",assignees[] (USER/TEAM),Procedures/checklists,Inventory links,Time/cost tracking,Yes,Photos/comments,Mobile-first; AI features; simple flat payloads.,"json\n{\n ""title"": ""Replace filter"",\n ""description"": ""HVAC unit A-12"",\n ""assetId"": 98765,\n ""priority"": ""MEDIUM"",\n ""estimatedTime"": 45,\n ""assignees"": [{""id"": 111, ""type"": ""USER""}],\n ""procedures"": [{""text"": ""Step 1""}]\n}\n"
IBM Maximo (IBM),REST/OSLC (JSON),/mxapiwo or /oslc/os/mxapiwodetail,DESCRIPTION,ASSETNUM / location,"WOPRIORITY, STATUS",Target start/completion,Labor/assignment objects,Work tasks,Materials/services,Labor transactions,Specs + custom,Document upload,Complex but powerful; actions for status changes; ERP-heavy.,"json\n{\n ""DESCRIPTION"": ""Pump seal replacement"",\n ""ASSETNUM"": ""PUMP-045"",\n ""SITEID"": ""BEDFORD"",\n ""WOPRIORITY"": 2,\n ""STATUS"": ""WAPPR"",\n ""SCHEDSTART"": ""2026-05-20T08:00:00""\n}\n"
eMaint (Fluke),REST (X4 v2),Work order endpoints,Description fields,Asset links,"Priority, status",Scheduling fields,Team/vendor assignment,Procedures,Inventory,Labor,Yes,Document upload,Good for ERP/IoT; procedural WOs.,"json\n{\n ""description"": ""Calibrate sensor"",\n ""assetId"": ""SENSOR-789"",\n ""priority"": ""High"",\n ""status"": ""Open"",\n ""scheduledDate"": ""2026-05-21""\n}\n"
Hippo CMMS (Eptura),REST,WO CRUD endpoints,Title/description,Asset/location ID,Priority/status,Due/scheduled dates,Assigned to users/teams,Checklists,Parts,Labor,Custom fields,Yes,Facilities-focused; simple; good webhooks.,"json\n{\n ""title"": ""Clean rooftop unit"",\n ""description"": ""..."",\n ""assetId"": 33445,\n ""priority"": 3,\n ""dueDate"": ""2026-05-23""\n}\n"
Maintenance Connection (Accruent),Web/REST API,Work order API,Brief description,Asset/equipment,"Priority, status",Target dates,Trade/craft assignment,Tasks,Materials,Labor,Extensible,Supported,Enterprise reporting; strong inventory ties.,"json\n{\n ""briefDescription"": ""Electrical panel inspection"",\n ""assetId"": ""ELEC-PNL-12"",\n ""priority"": ""Medium"",\n ""status"": ""Open""\n}\n"
Brightly Asset Essentials,REST,/workorders or similar,BriefDescription,AssetId,PriorityId,Scheduling object,Labours (crafts),WorkTasks,MaintenanceMaterials,Labours array,Yes,/document endpoint,Detailed relational; failure/cause/remedy codes.,"json\n{\n ""BriefDescription"": ""Roof leak repair"",\n ""AssetId"": 112233,\n ""PriorityId"": 1,\n ""Status"": ""Open"",\n ""Scheduling"": {""TargetCompletion"": ""2026-05-24""},\n ""Labours"": [{""Craft"": ""Plumber"", ""Hours"": 4}]\n}\n"
Asset Panda,REST,Asset-focused WO endpoints,Title/description,Strong asset linking,Priority,Due dates,Assignee,Checklists,Inventory,Labor,Heavy custom,Photos,Asset-centric; simple for inventory-heavy middleware.,"json\n{\n ""title"": ""Battery replacement"",\n ""assetId"": 556677,\n ""priority"": ""Low"",\n ""dueDate"": ""2026-05-26"",\n ""customFields"": {""serial"": ""BAT-XYZ""}\n}\n"
OxMaint,REST,WO endpoints,Title/description,Asset ID,Priority,Due dates,Assigned users,Procedures,Parts,Time tracking,Yes,Supported,FM/IoT strong; modern API.,"json\n{\n ""title"": ""Sensor calibration"",\n ""description"": ""..."",\n ""assetId"": 998877,\n ""priority"": ""High"",\n ""dueDate"": ""2026-05-20""\n}\n"
Coast,REST (modern),WO API,Title/description,Asset/location,Priority/status,Scheduling,Teams/users,Checklists,Parts,Labor,Custom,Mobile photos,Mobile-first; easy adoption.,"json\n{\n ""title"": ""Grease bearings"",\n ""assetId"": 445566,\n ""priority"": ""Medium"",\n ""status"": ""Open"",\n ""assignees"": [222, 333]\n}\n"